key,date,value_1952,value_1953,value_1954,value_1955,value_1956,value_1957,value_1958,value_1959,value_1960,value_1961,value_1962,value_1963,value_1964,value_1965,value_1966,value_1967,value_1968,value_1969,value_1970,value_1971,value_1972,value_1973,value_1974,value_1975,value_1976,value_1977,value_1978,value_1979,value_1980,value_1981,value_1982,value_1983,value_1984,value_1985,value_1986,value_1987,value_1988,value_1989,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018
9163500,m-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-12,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-14,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-16,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-18,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-20,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-22,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-24,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-26,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-28,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-30,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-32,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-34,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,1764,4260,1999,4664,4032,5114,3678,3056,2474,1776,938.2,1966,1482,2985,3000,2454,4225,3701,2758,5918,1392,1500,3881,3430,2948,2729,1502
9163500,m-36,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
9163500,m-37,9431,5211,2881,4009,4607,10390,7492,4110,5164,3812,8558,3571,4287,7893,4087,3952,5128,5978,7580,7424,4760,7451,6004,6551,4594,2559,5338,7817,7214,3723,6248,11100,13470,10690,10380,7190,4835,3885,3096,4845,4583,8491,4631,9778,7658,9826,7387,6018,4820,3866,2417,3638,3349,6214,5474,5216,8425,6857,5097,9510,3330,3331,7024,6499,6020,6154,3484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
